HID,TYPE,DIAMETRE,X,Y,ADRESSE,REPERES,ETAT,DEPARTEMENT,PAYS
16,Bouche incendie  ,100 mm,238790,1631297,Rue HB-328 HLM Hann Mariste N 48  ,en face immeuble Lionne Batimât A,Fonctionnel,Dakar,Senegal
17,Bouche incendie  ,100 mm,237932,1630313,Hann Mariste lotissement G N 75 rue HB-294, en face immeuble Rose intersection,Fonctionnel,Dakar,Senegal
18,Bouche incendie  ,100 mm,238394,1631029,Rue HB-393 Hann mariste ,en face ECOBANK route principal près Plateau Médical,Fonctionnel,Dakar,Senegal
19,Bouche incendie  ,100 mm,238068,1630718,Rue HB-393 Hann Mariste ,en face SENELEC hauteur lavage automobile,Fonctionnel,Dakar,Senegal
20,Bouche incendie  ,100 mm,238523,1630339,HLM Hann Mariste 1 Villa Y1 ,en face la Saint- Louisienne PRO (blanchisserie),Fonctionnel,Dakar,Senegal
74,Bouche incendie  ,100 mm,235480,1628444,Sicap Liberté 2 derrière mosquée,,Fonctionnel,Dakar,Senegal
75,Bouche incendie  ,100 mm,236630,1627882,Rue 13 ,à 20m avant église Saint Maurice d’Angers,Fonctionnel,Dakar,Senegal
76,Bouche incendie  ,100 mm,236545,1627169,Avenue Cheikh Ahmadou Bamba Mbacke HLM 6 villa 2591, coté ECOBANK,Fonctionnel,Dakar,Senegal
77,Bouche incendie  ,100 mm,236999,1627169,Rue HLM-272 HLM 6 ,en face centre socio culturel des HLM,Fonctionnel,Dakar,Senegal
78,Bouche incendie  ,100 mm,236399,1627208,Rue Serigne Fallou Mbacke (BIS-45) Usine béne tally ,en face mosquée toucouleur,Fonctionnel,Dakar,Senegal
